,id,name,symbol,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap
17,3408,USD Coin,USDC,2018-10-08T00:00:00.000Z,1096397882.15303,1101773379.32,18,2020-07-15T02:03:19.000Z,1.00326532645,271997544.011923,0.401469,0.387548,0.225876,1099977979.1573482
18,3077,VeChain,VET,2017-08-22T00:00:00.000Z,55454734800.0,86712634466.0,19,2020-07-15T02:03:14.000Z,0.0187874816577,212492886.915533,-0.748952,4.07399,9.35313,1041854812.887618
19,2502,Huobi Token,HT,2018-02-03T00:00:00.000Z,217637531.971921,500000000.0,20,2020-07-15T02:03:13.000Z,4.2519611269,80618515.7865403,0.451321,0.582473,2.43947,925386325.699064
20,1376,Neo,NEO,2016-09-08T00:00:00.000Z,70538831.0,100000000.0,21,2020-07-15T02:03:10.000Z,11.1424100946,225176407.692163,2.40211,5.1438,5.05522,785972582.5956835
21,3794,Cosmos,ATOM,2019-03-14T00:00:00.000Z,190688439.2,237928230.821588,22,2020-07-15T02:03:19.000Z,3.96970839425,153486188.051689,2.05601,1.52225,20.9182,756977497.7786707
22,1321,Ethereum Classic,ETC,2016-07-24T00:00:00.000Z,116313299.0,116313299.0,23,2020-07-15T02:03:10.000Z,6.32093628523,576142885.196932,0.00514127,0.738181,0.676388,735208952.1039063
23,1720,IOTA,MIOTA,2017-06-13T00:00:00.000Z,2779530283.0,2779530283.0,24,2020-07-15T02:03:09.000Z,0.249579131266,16123829.1713978,0.377854,0.117707,1.20043,693712753.3586792
24,131,Dash,DASH,2014-02-14T00:00:00.000Z,9599922.31206955,9599922.31206955,25,2020-07-15T02:03:10.000Z,71.8197999876,229365068.109943,-0.0560538,1.03685,1.96082,689464500.3493338
25,1437,Zcash,ZEC,2016-10-29T00:00:00.000Z,9593968.75,9593968.75,26,2020-07-15T02:03:10.000Z,62.8801285501,255513396.024649,0.659826,3.45649,12.5907,603269988.3056421
26,2566,Ontology,ONT,2018-03-08T00:00:00.000Z,696743794.0,1000000000.0,27,2020-07-15T02:03:12.000Z,0.774990225409,272017325.771444,2.26455,15.9944,25.1255,539969629.9643818
27,1518,Maker,MKR,2017-01-29T00:00:00.000Z,1005576.7463346,1005576.7463346,28,2020-07-15T02:03:09.000Z,462.671691837,6636524.34600096,0.140637,3.20934,1.17125,465251894.4985752
